movieId,title,release_year,movie_age,movie_avg_rating,movie_rating_count,movie_rating_std,movie_num_raters,avg_tag_relevance,max_tag_relevance,num_tags,genre_(no genres listed),genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_IMAX,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western
1,Toy Story (1995),1995.0,13.0,3.916279069767442,215,0.8399850445258936,215,0.9926,0.9995,5,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
110,Braveheart (1995),1995.0,13.0,3.9413145539906105,213,1.0450160961224984,213,0.0,0.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
158,Casper (1995),1995.0,13.0,2.977272727272727,44,1.083462072905622,44,0.0,0.0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
260,Star Wars: Episode IV - A New Hope (1977),1977.0,31.0,4.017361111111111,288,1.097849012619795,288,0.0,0.0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
356,Forrest Gump (1994),1994.0,14.0,4.016556291390729,302,0.9112023719248556,302,0.0,0.0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
381,When a Man Loves a Woman (1994),1994.0,14.0,3.5294117647058822,17,0.7174300539794392,17,0.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
596,Pinocchio (1940),1940.0,68.0,3.4166666666666665,48,1.1407972824811214,48,0.0,0.0,0,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1036,Die Hard (1988),1988.0,20.0,3.9615384615384617,130,0.7914646040344918,130,0.0,0.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1049,"Ghost and the Darkness, The (1996)",1996.0,12.0,3.533333333333333,15,0.9722335600245937,15,0.0,0.0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1066,Shall We Dance (1937),1937.0,71.0,4.2,5,0.44721359549995804,5,0.0,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980.0,28.0,4.0,237,1.0606601717798212,237,0.0,0.0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1200,Aliens (1986),1986.0,22.0,3.943548387096774,124,0.9902157057839053,124,0.0,0.0,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1210,Star Wars: Episode VI - Return of the Jedi (1983),1983.0,25.0,3.9864864864864864,222,1.024495150938352,222,0.0,0.0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1214,Alien (1979),1979.0,29.0,4.052816901408451,142,0.9994816856731314,142,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1291,Indiana Jones and the Last Crusade (1989),1989.0,19.0,3.792207792207792,154,1.0442830650445714,154,0.0,0.0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1293,Gandhi (1982),1982.0,26.0,3.7083333333333335,24,0.7928576091618197,24,0.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1376,Star Trek IV: The Voyage Home (1986),1986.0,22.0,3.65,50,1.0063573431146695,50,0.0,0.0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1396,Sneakers (1992),1992.0,16.0,3.715909090909091,44,0.8169549763627157,44,0.0,0.0,0,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1537,Shall We Dance? (Shall We Dansu?) (1996),1996.0,12.0,3.4375,8,1.1475906437899734,8,0.0,0.0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
